,Page,Clicks,Impressions,CTR,Position,Avg. Time on Page,Bounce Rate,Exit,Pageviews,Unique Pageviews
79,https://miratrix.co.uk/category/app-marketing/,1,12,8.33%,24.92,0 days 00:00:00.000000000,50.0,100.0,2,2
80,https://miratrix.co.uk/window-shopping/phonebook-results/,1,12,8.33%,24.92,0 days 00:00:00.000000000,0.0,100.0,1,1
81,https://miratrix.co.uk/candy-crush-ads-london/kings-candy-crush-blog/,1,11,9.09%,43.0,0 days 00:00:00.000000000,100.0,100.0,1,1
84,https://miratrix.co.uk/weekly-round-up-13/,1,6,16.67%,34.0,0 days 00:00:00.000000000,0.0,100.0,1,1
85,https://miratrix.co.uk/category/miratrix/page/10/,1,6,16.67%,50.67,0 days 00:00:00.000000000,100.0,100.0,1,1
86,https://miratrix.co.uk/author/nduddy/page/4/,1,5,20%,30.4,0 days 00:02:04.000000000,0.0,0.0,2,1
87,https://miratrix.co.uk/author/nduddy/page/9/,1,5,20%,31.8,0 days 00:00:00.000000000,100.0,100.0,1,1
88,https://miratrix.co.uk/tag/catelites-bot/,1,3,33.33%,11.33,0 days 00:00:00.000000000,100.0,100.0,1,1
90,https://miratrix.co.uk/tag/what3words/,1,3,33.33%,36.67,0 days 00:00:00.000000000,100.0,100.0,1,1
92,https://miratrix.co.uk/tag/bridgnorth-shoplifters/,1,1,100%,5.0,0 days 00:00:00.000000000,100.0,100.0,1,1
93,https://miratrix.co.uk/seo-agency-london/,0,1496,0%,215.61,0 days 00:00:32.500000000,100.0,66.66499999999999,4,4
96,https://miratrix.co.uk/pay-per-click-agency/,0,779,0%,105.6,0 days 00:00:21.000000000,25.0,41.665,5,5
100,https://miratrix.co.uk/💥miratrix💯-top-app-marketing-mobyaffiliates-😍-mtx68/,0,400,0%,27.06,0 days 00:00:26.500000000,50.0,33.335,6,6
101,https://miratrix.co.uk/aps-berlin-2014/soundcloud-mobile-growth-stack/,0,377,0%,65.4,0 days 00:00:00.000000000,0.0,100.0,2,2
102,https://miratrix.co.uk/kpms-for-paid-fb-and-play-ads-cpi/,0,372,0%,32.97,0 days 00:00:00.000000000,0.0,100.0,1,1
103,https://miratrix.co.uk/instagram-ads-for-business/,0,328,0%,71.85,0 days 00:00:40.333333333,83.33333333333333,58.169999999999995,21,16
106,https://miratrix.co.uk/category/app-store-optimization/,0,279,0%,47.51,0 days 00:00:00.000000000,100.0,100.0,1,1
109,https://miratrix.co.uk/apps-we-played-at-the-weekend-the-simpsons-v-family-guy/,0,251,0%,44.64,0 days 00:00:00.000000000,0.0,100.0,1,1
112,https://miratrix.co.uk/facebook-ad-agency/,0,238,0%,49.63,0 days 00:00:27.333333333,38.89,53.78666666666667,24,24
122,https://miratrix.co.uk/new-app-will-protect-spies/,0,150,0%,52.4,0 days 00:00:00.000000000,100.0,100.0,1,1
124,https://miratrix.co.uk/new-ar-apps-games-unveiled/,0,147,0%,76.59,0 days 00:00:00.000000000,100.0,100.0,2,2
126,https://miratrix.co.uk/facebook-faces-lawsuit-messenger-app/,0,139,0%,57.86,0 days 00:00:00.000000000,100.0,100.0,1,1
127,https://miratrix.co.uk/miratrix-23-golden-square-london-w1f-9jp/,0,133,0%,18.98,0 days 00:00:00.000000000,0.0,100.0,1,1
133,https://miratrix.co.uk/apps-in-google-play-store-spy-on-users/,0,125,0%,52.12,0 days 00:00:00.000000000,100.0,100.0,1,1
135,https://miratrix.co.uk/google-rolls-new-chat-messenger/,0,123,0%,56.71,0 days 00:00:10.500000000,50.0,75.0,3,3
141,https://miratrix.co.uk/will-pwa-kill-aso-mtx60/,0,106,0%,21.0,0 days 00:00:00.000000000,100.0,100.0,1,1
142,https://miratrix.co.uk/google-miratirx-isnt-just-a-power-ranger/,0,101,0%,24.12,0 days 00:00:00.000000000,100.0,100.0,3,3
144,https://miratrix.co.uk/google-play-ads/,0,99,0%,32.97,0 days 00:01:34.000000000,100.0,35.415,17,14
146,https://miratrix.co.uk/bank-app-works-blink-eye/,0,97,0%,42.97,0 days 00:00:00.000000000,0.0,100.0,1,1
153,https://miratrix.co.uk/apple-app-store-freeze-2014/,0,85,0%,44.86,0 days 00:00:00.000000000,100.0,100.0,5,5
165,https://miratrix.co.uk/game-play-to-cure-genes-in-space/,0,71,0%,40.58,0 days 00:00:00.000000000,0.0,100.0,1,1
171,https://miratrix.co.uk/app-developers-look-web-hybrid-apps/,0,69,0%,90.71,0 days 00:00:00.000000000,100.0,100.0,1,1
175,https://miratrix.co.uk/tag/app-experiments/,0,67,0%,56.66,0 days 00:00:00.000000000,100.0,100.0,1,1
176,https://miratrix.co.uk/research-methods-resource/,0,66,0%,36.09,0 days 00:00:02.000000000,0.0,50.0,3,3
178,https://miratrix.co.uk/aso-ctr-vs-incent-campaign-mtx45/,0,65,0%,38.42,0 days 00:00:00.000000000,100.0,100.0,1,1
180,https://miratrix.co.uk/tag/aso/,0,64,0%,45.67,0 days 00:00:00.000000000,100.0,100.0,1,1
189,https://miratrix.co.uk/pay-for-tinder-dating-app/,0,57,0%,33.82,0 days 00:00:00.000000000,100.0,100.0,1,1
191,https://miratrix.co.uk/tag/mobile-phone-fraud/,0,57,0%,64.88,0 days 00:00:00.000000000,100.0,100.0,1,1
192,https://miratrix.co.uk/fears-malware-preloaded-phones/,0,56,0%,28.71,0 days 00:00:00.000000000,100.0,100.0,1,1
193,https://miratrix.co.uk/the-weekly-noise-app-news-five-fantastic-things-that-happened-this-week/,0,56,0%,74.64,0 days 00:00:00.000000000,0.0,100.0,1,1
199,https://miratrix.co.uk/blog/page/2/,0,53,0%,31.3,0 days 00:00:00.000000000,100.0,100.0,1,1
200,https://miratrix.co.uk/free-dating-apps-hit-online-romance-sites/,0,53,0%,38.3,0 days 00:02:39.000000000,0.0,0.0,1,1
205,https://miratrix.co.uk/mobile-retention-good-aso-mtx20/,0,51,0%,14.98,0 days 00:00:00.000000000,100.0,100.0,1,1
206,https://miratrix.co.uk/app-overlap-does-it-matter/,0,51,0%,36.04,0 days 00:00:00.000000000,100.0,100.0,4,4
209,https://miratrix.co.uk/category/mtx-noisy-video/,0,50,0%,26.42,0 days 00:03:23.000000000,75.0,83.33500000000001,9,9
211,https://miratrix.co.uk/how-to-setup-google-local-place-maps/,0,50,0%,71.68,0 days 00:00:00.000000000,100.0,100.0,1,1
221,https://miratrix.co.uk/appy-christmas-week/,0,46,0%,63.26,0 days 00:02:18.000000000,0.0,50.0,4,3
223,https://miratrix.co.uk/mobile-phone-apps-for-banking-use-soar/,0,44,0%,36.7,0 days 00:00:00.000000000,100.0,100.0,1,1
232,https://miratrix.co.uk/facebook-unveils-terms-revamp/,0,42,0%,31.55,0 days 00:00:00.000000000,100.0,100.0,1,1
241,https://miratrix.co.uk/millions-phones-risk-app-mistake/,0,40,0%,35.45,0 days 00:00:00.000000000,100.0,100.0,1,1
243,https://miratrix.co.uk/apps-can-hacked-revealed/,0,40,0%,52.98,0 days 00:00:10.000000000,50.0,50.0,2,2
252,https://miratrix.co.uk/social-club/,0,38,0%,34.87,0 days 00:14:21.000000000,0.0,50.0,2,1
261,https://miratrix.co.uk/tag/miratrix/,0,36,0%,22.0,0 days 00:00:00.000000000,100.0,100.0,1,1
264,https://miratrix.co.uk/category/the-weekly-noise/,0,36,0%,37.0,0 days 00:01:22.000000000,62.5,60.575,17,17
